PK_Transaction,Scenario,Account,Dataset,DateOfFact,BusinessKey,PolicyNumber,InceptionDate,ExpiryDate,BindDate,DueDate,TrifocusCode,Entity,YOA,TypeOfBusiness,StatsCode,SettlementCCY,OriginalCCY,IsToDate,Value,RowHash,FK_Allocation,DeltaType,AuditSourceBatchID,AuditCreateDateTime,AuditGenerateDateTime,AuditUserCreate,AuditHost,Basis,Location,ValueOrig,BusinessProcessCode,FK_Batch,BoundDate,RIPolicyType,ProgrammeCode,ExcelRowHash,RunNumber
,F,P-RP-P-TTY,BusinessPlanRI,01/12/2018,P-RP-P-TTY|01/01/2019|01/01/2020|708|2623|2019|USD|67|Environmental Occurrence|QS|Enviro Occurrence|QS|Environmental QS,NOPOLICY,01/01/2019,01/01/2020,01/01/1980,01/01/1980,708,2623,2019,N,,USD,USD,Y,48851.7989,,-1,New,,,,,,-,-,48851.7989,,,,QS,Environmental QS,P-RP-P-TTY|01/01/2019|01/01/2020|708|2623|2019|USD|67|Environmental Occurrence|QS|Enviro Occurrence|QS|Environmental QS,0
,F,P-RP-P-TTY,BusinessPlanRI,01/12/2018,P-RP-P-TTY|01/07/2019|01/07/2020|708|623|2019|USD|67|Environmental Occurrence|Clash|Clash|XL|Systemic cover - Clash,NOPOLICY,01/07/2019,01/07/2020,01/01/1980,01/01/1980,708,623,2019,N,,USD,USD,Y,464.2993,,-1,New,,,,,,-,-,464.2993,,,,XL,Systemic cover - Clash,P-RP-P-TTY|01/07/2019|01/07/2020|708|623|2019|USD|67|Environmental Occurrence|Clash|Clash|XL|Systemic cover - Clash,0
,F,P-RP-P-TTY,BusinessPlanRI,01/12/2018,P-RP-P-TTY|01/01/2019|01/01/2020|708|623|2019|USD|67|Environmental Occurrence|QS|Enviro Occurrence|QS|Environmental QS,NOPOLICY,01/01/2019,01/01/2020,01/01/1980,01/01/1980,708,623,2019,N,,USD,USD,Y,10723.5656,,-1,New,,,,,,-,-,10723.5656,,,,QS,Environmental QS,P-RP-P-TTY|01/01/2019|01/01/2020|708|623|2019|USD|67|Environmental Occurrence|QS|Enviro Occurrence|QS|Environmental QS,0
,F,P-RP-P-TTY,BusinessPlanRI,01/12/2018,P-RP-P-TTY|01/01/2019|01/01/2020|668|USBICI|2019|USD|10037|BICI A&E MM|QS|LPL_AE QS|QS|A&E Lawyers QS,NOPOLICY,01/01/2019,01/01/2020,01/01/1980,01/01/1980,668,USBICI,2019,N,,USD,USD,Y,1856481.442,,-1,New,,,,,,-,-,1856481.442,,,,QS,A&E Lawyers QS,P-RP-P-TTY|01/01/2019|01/01/2020|668|USBICI|2019|USD|10037|BICI A&E MM|QS|LPL_AE QS|QS|A&E Lawyers QS,0
,F,P-RP-P-TTY,BusinessPlanRI,01/12/2018,P-RP-P-TTY|01/01/2019|01/01/2020|668|USBICI|2019|USD|10037|BICI A&E MM|QS|Munich QS|QS|MUNQQS,NOPOLICY,01/01/2019,01/01/2020,01/01/1980,01/01/1980,668,USBICI,2019,N,,USD,USD,Y,1859596.967,,-1,New,,,,,,-,-,1859596.967,,,,QS,MUNQQS,P-RP-P-TTY|01/01/2019|01/01/2020|668|USBICI|2019|USD|10037|BICI A&E MM|QS|Munich QS|QS|MUNQQS,0
,F,P-RP-P-TTY,BusinessPlanRI,01/12/2018,P-RP-P-TTY|01/01/2019|01/01/2020|668|USBICI|2019|USD|10037|BICI A&E MM|QS|Munich Surplus|QS|MUNICH - Surplus,NOPOLICY,01/01/2019,01/01/2020,01/01/1980,01/01/1980,668,USBICI,2019,N,,USD,USD,Y,418270.217,,-1,New,,,,,,-,-,418270.217,,,,QS,MUNICH - Surplus,P-RP-P-TTY|01/01/2019|01/01/2020|668|USBICI|2019|USD|10037|BICI A&E MM|QS|Munich Surplus|QS|MUNICH - Surplus,0
,F,P-RP-P-FAC,BusinessPlanRI,01/12/2018,P-RP-P-FAC|01/01/2019|01/01/2020|668|USBICI|2019|USD|10037|BICI A&E MM|Fac|Fac|FAC|SL Facultative spend,NOPOLICY,01/01/2019,01/01/2020,01/01/1980,01/01/1980,668,USBICI,2019,N,,USD,USD,Y,396256.1256,,-1,New,,,,,,-,-,396256.1256,,,,FAC,SL Facultative spend,P-RP-P-FAC|01/01/2019|01/01/2020|668|USBICI|2019|USD|10037|BICI A&E MM|Fac|Fac|FAC|SL Facultative spend,0
,F,P-RP-P-TTY,BusinessPlanRI,01/12/2018,P-RP-P-TTY|01/07/2019|01/07/2020|668|USBICI|2019|USD|10037|BICI A&E MM|Clash|Clash|XL|Systemic cover - Clash,NOPOLICY,01/07/2019,01/07/2020,01/01/1980,01/01/1980,668,USBICI,2019,N,,USD,USD,Y,427176.1947,,-1,New,,,,,,-,-,427176.1947,,,,XL,Systemic cover - Clash,P-RP-P-TTY|01/07/2019|01/07/2020|668|USBICI|2019|USD|10037|BICI A&E MM|Clash|Clash|XL|Systemic cover - Clash,0
,F,P-RP-P-TTY,BusinessPlanRI,01/12/2018,P-RP-P-TTY|01/01/2019|01/01/2020|721|2623|2019|USD|114|TMB UK Info Sec|QS|Munich QS|QS|MUNQQS,NOPOLICY,01/01/2019,01/01/2020,01/01/1980,01/01/1980,721,2623,2019,N,,USD,USD,Y,1253298.141,,-1,New,,,,,,-,-,1253298.141,,,,QS,MUNQQS,P-RP-P-TTY|01/01/2019|01/01/2020|721|2623|2019|USD|114|TMB UK Info Sec|QS|Munich QS|QS|MUNQQS,0
,F,P-RP-P-TTY,BusinessPlanRI,01/12/2018,P-RP-P-TTY|01/01/2019|01/01/2020|721|2623|2019|USD|114|TMB UK Info Sec|QS|Munich Surplus|QS|MUNICH - Surplus,NOPOLICY,01/01/2019,01/01/2020,01/01/1980,01/01/1980,721,2623,2019,N,,USD,USD,Y,1170670.448,,-1,New,,,,,,-,-,1170670.448,,,,QS,MUNICH - Surplus,P-RP-P-TTY|01/01/2019|01/01/2020|721|2623|2019|USD|114|TMB UK Info Sec|QS|Munich Surplus|QS|MUNICH - Surplus,0
