Policy Ref,Entity,Value,TriFocus,CCY,YOA,Date Of Fact,Source File
R0595A08,2623,310230,n/a,USD,2008,01/12/2018,Guy Carpenter Broker Rebates @ 2009
R0596A08,623,218.8971,n/a,USD,2008,01/12/2018,Willis Broker Rebate @ 2009
R0596A08,2623,933.1929,n/a,USD,2008,01/12/2018,Willis Broker Rebate @ 2009
R0596A08,623,941.1023,n/a,GBP,2008,01/12/2018,Willis Broker Rebate @ 2009
R0596A08,2623,4012.0677,n/a,GBP,2008,01/12/2018,Willis Broker Rebate @ 2009
R0596A08,623,38.9652,n/a,EUR,2008,01/12/2018,Willis Broker Rebate @ 2009
R0596A08,2623,166.1148,n/a,EUR,2008,01/12/2018,Willis Broker Rebate @ 2009
R0599A09,623,18531.137,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0599A09,2623,79001.163,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0628B09,623,1140,n/a,GBP,2009,01/12/2018,Aon Broker Rebates @2009
R0628B09,2623,4860,n/a,GBP,2009,01/12/2018,Aon Broker Rebates @2009
R0629A09,623,1237.5935,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0629A09,2623,5276.0565,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0630A09,623,9083.8905,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0630A09,2623,38726.0595,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0631A09,623,3764.9374,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0631A09,2623,16050.5226,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0635A09,623,12838.5641,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0635A09,2623,54732.8259,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0636A08,623,116997.6262,n/a,USD,2008,01/12/2018,Aon Broker Rebates @2009
R0636A08,2623,498779.3538,n/a,USD,2008,01/12/2018,Aon Broker Rebates @2009
R0636A08,623,3562.5,n/a,USD,2008,01/12/2018,Guy Carpenter Broker Rebates @ 2009
R0636A08,2623,15187.5,n/a,USD,2008,01/12/2018,Guy Carpenter Broker Rebates @ 2009
R0636A09,623,1988.2816,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0636A09,2623,8476.3584,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0636B09,623,5652.1428,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0636B09,2623,24095.9772,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0636C09,623,1656.9007,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0636C09,2623,7063.6293,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0636D09,623,1325.5217,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0636D09,2623,5650.9083,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0637A09,623,8236.0611,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0637A09,2623,35111.6289,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0638A09,623,7872.7051,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0638A09,2623,33562.5849,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0639A09,623,7586.8653,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0639A09,2623,32344.0047,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0639B09,623,14541.4923,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0639B09,2623,61992.6777,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0639C09,623,3161.1934,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0639C09,2623,13476.6666,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0643A09,623,4069.5834,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0643A09,2623,17349.2766,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0643B09,623,2713.0556,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0643B09,2623,11566.1844,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0643D09,623,5057.9102,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0643D09,2623,21562.6698,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0644A09,623,15896.8098,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0644A09,2623,67770.6102,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0645A09,623,6758.414,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0645A09,2623,28812.186,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0645B09,623,1126.4017,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0645B09,2623,4802.0283,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0646A09,623,15987.6469,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0646A09,2623,68157.8631,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0646B09,623,7267.1124,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0646B09,2623,30980.8476,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0659A09,623,13807.5128,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0659A09,2623,58863.6072,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0661A09,623,64.695,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0661A09,2623,275.805,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0662A08,623,5001.4061,n/a,USD,2008,01/12/2018,Willis Broker Rebate @ 2009
R0662A08,2623,21321.7839,n/a,USD,2008,01/12/2018,Willis Broker Rebate @ 2009
R0662A08,623,3054.5084,n/a,GBP,2008,01/12/2018,Willis Broker Rebate @ 2009
R0662A08,2623,13021.8516,n/a,GBP,2008,01/12/2018,Willis Broker Rebate @ 2009
R0662A08,623,290.4967,n/a,EUR,2008,01/12/2018,Willis Broker Rebate @ 2009
R0662A08,2623,1238.4333,n/a,EUR,2008,01/12/2018,Willis Broker Rebate @ 2009
R0662A08,623,1307.5249,n/a,CAD,2008,01/12/2018,Willis Broker Rebate @ 2009
R0662A08,2623,5574.1851,n/a,CAD,2008,01/12/2018,Willis Broker Rebate @ 2009
R0663A08,623,52129.673,n/a,USD,2008,01/12/2018,Willis Broker Rebate @ 2009
R0663A08,2623,222237.027,n/a,USD,2008,01/12/2018,Willis Broker Rebate @ 2009
R0668A09,623,3996.9122,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0668A09,2623,17039.4678,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0670A09,623,4360.2682,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0670A09,2623,18588.5118,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0700A09,623,7751.5858,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0700A09,2623,33046.2342,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0703A09,623,6994.5954,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0703A09,2623,29819.0646,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0703A09,623,6095.8327,n/a,GBP,2009,01/12/2018,Aon Broker Rebates @2009
R0703A09,2623,25987.4973,n/a,GBP,2009,01/12/2018,Aon Broker Rebates @2009
R0703B09,623,22811.9187,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0703B09,2623,97250.8113,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0703B09,623,19880.726,n/a,GBP,2009,01/12/2018,Aon Broker Rebates @2009
R0703B09,2623,84754.674,n/a,GBP,2009,01/12/2018,Aon Broker Rebates @2009
R0704A09,623,11827.2245,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0704A09,2623,50421.3255,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0704A09,623,10307.5,n/a,GBP,2009,01/12/2018,Aon Broker Rebates @2009
R0704A09,2623,43942.5,n/a,GBP,2009,01/12/2018,Aon Broker Rebates @2009
R0704B09,623,1907.6171,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
