"PK_Transaction","Scenario","Account","Dataset","DateOfFact","BusinessKey","PolicyNumber","InceptionDate","ExpiryDate","BindDate","DueDate","TrifocusCode","Entity","YOA","TypeOfBusiness","StatsCode","SettlementCCY","OriginalCCY","IsToDate","Value","RowHash","FK_Allocation","DeltaType","AuditSourceBatchID","AuditCreateDateTime","AuditGenerateDateTime","AuditUserCreate","AuditHost","Basis","Location","ValueOrig","BusinessProcessCode","FK_Batch","BoundDate","RIPolicyType","ProgrammeCode","ExcelRowHash","RunNumber"
"NULL","A","CC-LS-TTY-UN","BICI_RI_Paid","2018-12-01","BICI Internal QS|QS|SPQS17|739|2017","SPQS17","2017-01-01","2017-12-31","1980-01-01","1980-01-01","739","USBICI","2017","-","NULL","USD","USD","Y","10931.7100","NULL","NULL","New","NULL","NULL","NULL","NULL","NULL","B","-","10931.7100","T1","NULL","NULL","QS","BICI Internal QS","BICI Internal QS|QS|SPQS17|739|2017","NULL"
"NULL","A","CC-LS-TTY-UN","BICI_RI_Paid","2018-12-01","BICI Internal QS|QS|SPQS17|764|2017","SPQS17","2017-01-01","2017-12-31","1980-01-01","1980-01-01","764","USBICI","2017","-","NULL","USD","USD","Y","1698903.2300","NULL","NULL","New","NULL","NULL","NULL","NULL","NULL","B","-","1698903.2300","T1","NULL","NULL","QS","BICI Internal QS","BICI Internal QS|QS|SPQS17|764|2017","NULL"
"NULL","A","CC-LS-TTY-UN","BICI_RI_Paid","2018-12-01","BICI Internal QS|QS|SPQS18|672|2018","SPQS18","2018-01-01","2018-12-31","1980-01-01","1980-01-01","672","USBICI","2018","-","NULL","USD","USD","Y","717.5000","NULL","NULL","New","NULL","NULL","NULL","NULL","NULL","B","-","717.5000","T1","NULL","NULL","QS","BICI Internal QS","BICI Internal QS|QS|SPQS18|672|2018","NULL"
"NULL","A","CC-LS-TTY-UN","BICI_RI_Paid","2018-12-01","BICI Internal QS|QS|SPQS18|722|2018","SPQS18","2018-01-01","2018-12-31","1980-01-01","1980-01-01","722","USBICI","2018","-","NULL","USD","USD","Y","310.1200","NULL","NULL","New","NULL","NULL","NULL","NULL","NULL","B","-","310.1200","T1","NULL","NULL","QS","BICI Internal QS","BICI Internal QS|QS|SPQS18|722|2018","NULL"
"NULL","A","CC-LS-TTY-UN","BICI_RI_Paid","2018-12-01","BICI Internal QS|QS|SPSUR10|686|2010","SPSUR10","2010-01-01","2010-12-31","1980-01-01","1980-01-01","686","USBICI","2010","-","NULL","USD","USD","Y","54799.4700","NULL","NULL","New","NULL","NULL","NULL","NULL","NULL","B","-","54799.4700","T1","NULL","NULL","QS","BICI Internal QS","BICI Internal QS|QS|SPSUR10|686|2010","NULL"
"NULL","A","CC-LS-TTY-UN","BICI_RI_Paid","2018-12-01","BICI Internal QS|QS|SPSUR11|668|2011","SPSUR11","2011-01-01","2011-12-31","1980-01-01","1980-01-01","668","USBICI","2011","-","NULL","USD","USD","Y","1892.8000","NULL","NULL","New","NULL","NULL","NULL","NULL","NULL","B","-","1892.8000","T1","NULL","NULL","QS","BICI Internal QS","BICI Internal QS|QS|SPSUR11|668|2011","NULL"
"NULL","A","CC-LS-UNK-UN","BICI_RI_Paid","2018-12-01","HISTORICAL BLANK|UNK||668|2008","BICI_HISTORICAL","2008-01-01","2008-12-31","1980-01-01","1980-01-01","668","USBICI","2008","-","NULL","USD","USD","Y","5344117.7400","NULL","NULL","New","NULL","NULL","NULL","NULL","NULL","B","-","5344117.7400","T1","NULL","NULL","UNK","BICI_HISTORICAL","HISTORICAL BLANK|UNK||668|2008","NULL"
"NULL","A","CC-LS-UNK-UN","BICI_RI_Paid","2018-12-01","BICI Internal QS|UNK||671|2008","BICI_HISTORICAL","2008-01-01","2008-12-31","1980-01-01","1980-01-01","671","USBICI","2008","-","NULL","USD","USD","Y","-463206.0100","NULL","NULL","New","NULL","NULL","NULL","NULL","NULL","B","-","-463206.0100","T1","NULL","NULL","UNK","BICI Internal QS","BICI Internal QS|UNK||671|2008","NULL"
"NULL","A","CC-LS-UNK-UN","BICI_RI_Paid","2018-12-01","HISTORICAL BLANK|UNK||671|2008","BICI_HISTORICAL","2008-01-01","2008-12-31","1980-01-01","1980-01-01","671","USBICI","2008","-","NULL","USD","USD","Y","463206.0100","NULL","NULL","New","NULL","NULL","NULL","NULL","NULL","B","-","463206.0100","T1","NULL","NULL","UNK","BICI_HISTORICAL","HISTORICAL BLANK|UNK||671|2008","NULL"
"NULL","A","CC-LS-TTY-UN","BICI_RI_Paid","2018-12-01","BICI Internal QS|QS|SPQS13|736|2013","SPQS13","2013-01-01","2013-12-31","1980-01-01","1980-01-01","736","USBICI","2013","-","NULL","USD","USD","Y","7724815.8400","NULL","NULL","New","NULL","NULL","NULL","NULL","NULL","B","-","7724815.8400","T1","NULL","NULL","QS","BICI Internal QS","BICI Internal QS|QS|SPQS13|736|2013","NULL"
