PK_Transaction,Scenario,Account,Dataset,DateOfFact,BusinessKey,PolicyNumber,InceptionDate,ExpiryDate,BindDate,DueDate,TrifocusCode,Entity,YOA,TypeOfBusiness,StatsCode,SettlementCCY,OriginalCCY,IsToDate,Value,RowHash,FK_Allocation,DeltaType,AuditSourceBatchID,AuditCreateDateTime,AuditGenerateDateTime,AuditUserCreate,AuditHost,Basis,Location,ValueOrig,BusinessProcessCode,FK_Batch,BoundDate,ExcelRowHash,RunNumber,BeazleyCatCode
,F,RP-ULT-G,RIPsEventAlloc,2020-09-01,Treaty|Cat 6107|Typhoon Hagibis|Inwards|2019|USD|Syndicate 6107|Typhoon Hagibis|2019|04/10/2019,NOPOLICY,1980-01-01,1980-01-01,1980-01-01,1980-01-01,TRI00004,6107,2019,-,,USD,USD,Y,-231599.17,,,Adjustment,,,,,,E,-,-231599.17,T1,,,Treaty|Cat 6107|Typhoon Hagibis|Inwards|2019|USD|Syndicate 6107|Typhoon Hagibis|2019|04/10/2019|TRI00004,7,19F         
,F,RP-ULT-G,RIPsEventAlloc,2020-09-01,Treaty|Cat 6107|Woolsey Wildfire|Inwards|2018|USD|Syndicate 6107|Woolsey Wildfire|2018|08/11/2018,NOPOLICY,1980-01-01,1980-01-01,1980-01-01,1980-01-01,TRI00004,6107,2018,-,,USD,USD,Y,-249.9869,,,Adjustment,,,,,,E,-,-249.9869,T1,,,Treaty|Cat 6107|Woolsey Wildfire|Inwards|2018|USD|Syndicate 6107|Woolsey Wildfire|2018|08/11/2018|TRI00004,7,18L         
,F,RP-ULT-G,RIPsEventAlloc,2020-09-01,Treaty|Ex Cat 6107|Hurricane Laura|Inwards|2020|USD|Syndicate 6107|Hurricane Laura|2020|20/08/2020,NOPOLICY,1980-01-01,1980-01-01,1980-01-01,1980-01-01,TRI00012,6107,2020,-,,USD,USD,Y,41296.5,,,New,,,,,,E,-,41296.5,T1,,,Treaty|Ex Cat 6107|Hurricane Laura|Inwards|2020|USD|Syndicate 6107|Hurricane Laura|2020|20/08/2020|TRI00012,7,20M         
,F,RP-ULT-G,RIPsEventAlloc,2020-09-01,Treaty|Ex Cat 6107|Covid-19|Inwards|2020|USD|Syndicate 6107|Coronavirus|2020|11/03/2020,NOPOLICY,1980-01-01,1980-01-01,1980-01-01,1980-01-01,TRI00012,6107,2020,-,,USD,USD,Y,-151948.3951,,,Adjustment,,,,,,E,-,-151948.3951,T1,,,Treaty|Ex Cat 6107|Covid-19|Inwards|2020|USD|Syndicate 6107|Coronavirus|2020|11/03/2020|TRI00012,7,CORO        
,F,RP-ULT-G,RIPsEventAlloc,2020-09-01,Treaty|Ex Cat 6107|Hurricane Harvey|Inwards|2017|USD|Syndicate 6107|Hurricane Harvey|2017|17/08/2017,NOPOLICY,1980-01-01,1980-01-01,1980-01-01,1980-01-01,TRI00012,6107,2017,-,,USD,USD,Y,-7.2112,,,Adjustment,,,,,,E,-,-7.2112,T1,,,Treaty|Ex Cat 6107|Hurricane Harvey|Inwards|2017|USD|Syndicate 6107|Hurricane Harvey|2017|17/08/2017|TRI00012,7,17F         
,F,RP-ULT-G,RIPsEventAlloc,2020-09-01,Treaty|Ex Cat 6107|Hurricane Irma|Inwards|2017|USD|Syndicate 6107|Hurricane Irma|2017|30/08/2017,NOPOLICY,1980-01-01,1980-01-01,1980-01-01,1980-01-01,TRI00012,6107,2017,-,,USD,USD,Y,1627.0999,,,Adjustment,,,,,,E,-,1627.0999,T1,,,Treaty|Ex Cat 6107|Hurricane Irma|Inwards|2017|USD|Syndicate 6107|Hurricane Irma|2017|30/08/2017|TRI00012,7,17G         
,F,RP-ULT-G,RIPsEventAlloc,2020-09-01,Treaty|Ex Cat 6107|Hurricane Maria|Inwards|2017|USD|Syndicate 6107|Hurricane Maria|2017|16/09/2017,NOPOLICY,1980-01-01,1980-01-01,1980-01-01,1980-01-01,TRI00012,6107,2017,-,,USD,USD,Y,923.9026,,,Adjustment,,,,,,E,-,923.9026,T1,,,Treaty|Ex Cat 6107|Hurricane Maria|Inwards|2017|USD|Syndicate 6107|Hurricane Maria|2017|16/09/2017|TRI00012,7,17H         
,F,RP-ULT-G,RIPsEventAlloc,2020-09-01,Treaty|Ex Cat 6107|CA Wildfires (North)|Inwards|2017|USD|Syndicate 6107|California Wildfires|2017|20/04/2017,NOPOLICY,1980-01-01,1980-01-01,1980-01-01,1980-01-01,TRI00012,6107,2017,-,,USD,USD,Y,5010.6636,,,Adjustment,,,,,,E,-,5010.6636,T1,,,Treaty|Ex Cat 6107|CA Wildfires (North)|Inwards|2017|USD|Syndicate 6107|California Wildfires|2017|20/04/2017|TRI00012,7,17L         
,F,RP-ULT-G,RIPsEventAlloc,2020-09-01,Treaty|Ex Cat 6107|Hurricane Michael|Inwards|2018|USD|Syndicate 6107|Hurricane Michael|2018|07/10/2018,NOPOLICY,1980-01-01,1980-01-01,1980-01-01,1980-01-01,TRI00012,6107,2018,-,,USD,USD,Y,-2368.5382,,,Adjustment,,,,,,E,-,-2368.5382,T1,,,Treaty|Ex Cat 6107|Hurricane Michael|Inwards|2018|USD|Syndicate 6107|Hurricane Michael|2018|07/10/2018|TRI00012,7,18J         
,F,RP-ULT-G,RIPsEventAlloc,2020-09-01,Treaty|Ex Cat 6107|Camp Wildfire|Inwards|2018|USD|Syndicate 6107|CAMP WILDFIRE|2018|08/11/2018,NOPOLICY,1980-01-01,1980-01-01,1980-01-01,1980-01-01,TRI00012,6107,2018,-,,USD,USD,Y,-24.0372,,,Adjustment,,,,,,E,-,-24.0372,T1,,,Treaty|Ex Cat 6107|Camp Wildfire|Inwards|2018|USD|Syndicate 6107|CAMP WILDFIRE|2018|08/11/2018|TRI00012,7,18K         
,F,RP-ULT-G,RIPsEventAlloc,2020-12-01,Treaty|Cat|Hurricane Sally|Inwards|2020|USD|Syndicate 623|Hurricane Sally|2020|11/09/2020,NOPOLICY,1980-01-01,1980-01-01,1980-01-01,1980-01-01,TRI00004,623,2020,-,,USD,USD,Y,72573.48,,,New,,,,,,E,-,72573.48,T1,,,Treaty|Cat|Hurricane Sally|Inwards|2020|USD|Syndicate 623|Hurricane Sally|2020|11/09/2020|TRI00004,8,20Q         
,F,RP-ULT-G,RIPsEventAlloc,2020-12-01,Treaty|Cat|Hurricane Sally|Inwards|2020|USD|Syndicate 2623|Hurricane Sally|2020|11/09/2020,NOPOLICY,1980-01-01,1980-01-01,1980-01-01,1980-01-01,TRI00004,2623,2020,-,,USD,USD,Y,330612.52,,,New,,,,,,E,-,330612.52,T1,,,Treaty|Cat|Hurricane Sally|Inwards|2020|USD|Syndicate 2623|Hurricane Sally|2020|11/09/2020|TRI00004,8,20Q         
,F,RP-ULT-G,RIPsEventAlloc,2020-12-01,Treaty|Cat|Hurricane Zeta|Inwards|2020|USD|Syndicate 623|Hurricane Zeta|2020|24/10/2020,NOPOLICY,1980-01-01,1980-01-01,1980-01-01,1980-01-01,TRI00004,623,2020,-,,USD,USD,Y,67203.18,,,New,,,,,,E,-,67203.18,T1,,,Treaty|Cat|Hurricane Zeta|Inwards|2020|USD|Syndicate 623|Hurricane Zeta|2020|24/10/2020|TRI00004,8,20029MEX    
,F,RP-ULT-G,RIPsEventAlloc,2020-12-01,Treaty|Cat|Hurricane Zeta|Inwards|2020|USD|Syndicate 2623|Hurricane Zeta|2020|24/10/2020,NOPOLICY,1980-01-01,1980-01-01,1980-01-01,1980-01-01,TRI00004,2623,2020,-,,USD,USD,Y,306147.82,,,New,,,,,,E,-,306147.82,T1,,,Treaty|Cat|Hurricane Zeta|Inwards|2020|USD|Syndicate 2623|Hurricane Zeta|2020|24/10/2020|TRI00004,8,20029MEX    
,F,RP-ULT-G,RIPsEventAlloc,2020-12-01,Treaty|Cat|Hurricane Delta|Inwards|2020|USD|Syndicate 623|Hurricane Delta|2020|04/10/2020,NOPOLICY,1980-01-01,1980-01-01,1980-01-01,1980-01-01,TRI00004,623,2020,-,,USD,USD,Y,23556.96,,,New,,,,,,E,-,23556.96,T1,,,Treaty|Cat|Hurricane Delta|Inwards|2020|USD|Syndicate 623|Hurricane Delta|2020|04/10/2020|TRI00004,8,20R         
,F,RP-ULT-G,RIPsEventAlloc,2020-12-01,Treaty|Cat|Hurricane Delta|Inwards|2020|USD|Syndicate 2623|Hurricane Delta|2020|04/10/2020,NOPOLICY,1980-01-01,1980-01-01,1980-01-01,1980-01-01,TRI00004,2623,2020,-,,USD,USD,Y,107315.04,,,New,,,,,,E,-,107315.04,T1,,,Treaty|Cat|Hurricane Delta|Inwards|2020|USD|Syndicate 2623|Hurricane Delta|2020|04/10/2020|TRI00004,8,20R         
,F,RP-ULT-G,RIPsEventAlloc,2020-12-01,Treaty|Cat|Hurricane Laura|Inwards|2020|USD|Syndicate 623|Hurricane Laura|2020|20/08/2020,NOPOLICY,1980-01-01,1980-01-01,1980-01-01,1980-01-01,TRI00004,623,2020,-,,USD,USD,Y,355187.16,,,Adjustment,,,,,,E,-,355187.16,T1,,,Treaty|Cat|Hurricane Laura|Inwards|2020|USD|Syndicate 623|Hurricane Laura|2020|20/08/2020|TRI00004,8,20M         
,F,RP-ULT-G,RIPsEventAlloc,2020-12-01,Treaty|Cat|Hurricane Laura|Inwards|2020|USD|Syndicate 2623|Hurricane Laura|2020|20/08/2020,NOPOLICY,1980-01-01,1980-01-01,1980-01-01,1980-01-01,TRI00004,2623,2020,-,,USD,USD,Y,1618074.84,,,Adjustment,,,,,,E,-,1618074.84,T1,,,Treaty|Cat|Hurricane Laura|Inwards|2020|USD|Syndicate 2623|Hurricane Laura|2020|20/08/2020|TRI00004,8,20M         
