IFRS17_Programme Group,Reinsurance policy reference,Year,Focus Area,Currency,Value,Date of Fact,Entity
MUNICH - Surplus and MUNICHQQS,,2005,BUSA TMB MM,USD,55663.07381,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2005,BUSA TMB PE,USD,867.9255379,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2005,BICI A&E MM,USD,903.6580738,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2005,BICI D&O MM,USD,1352.927694,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2005,BICI EPL MM,USD,4718.967649,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2005,BICI EPL PE,USD,465.2903866,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2005,BICI TMB PE,USD,229.3550601,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2005,BICI TMB US E&O,USD,215.0826034,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2006,DIN US Lawyers,USD,259761.3889,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2006,D&O,USD,-152.4247006,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2006,EPL ,USD,226030.4722,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2006,Healthcare-Hospitals       ,USD,410192.7316,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2006,HML UK,USD,-0.000145446,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2006,Healthcare-Misc Med,USD,211386.1284,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2006,International,USD,229799.395,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2006,Legacy                   ,USD,-18.64364558,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2006,PI-A&E exBLPT            ,USD,755032.5724,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2006,PI-BI exBLPT             ,USD,173322.0147,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2006,PI-Ins Brokers exBLPT    ,USD,119524.5947,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2006,PI-Lawyers exBLPT        ,USD,1887031.177,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2006,PI-Other exBLPT          ,USD,83745.10889,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2006,Recall                   ,USD,22273.69756,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2006,Specialty exPT           ,USD,100042.4987,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2006,TMB UK Tech              ,USD,1410850.136,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2006,UK                       ,USD,369699.4714,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2006,US PE London             ,USD,326658.8402,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2006,BICI A&E MM,USD,35249.94449,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2006,BICI A&E PE,USD,78583.43078,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2006,BICI D&O MM,USD,46414.02536,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2006,BICI EPL MM,USD,43588.22306,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2006,BICI EPL PE,USD,8525.112559,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2006,BICI TMB PE,USD,10307.87832,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2006,BICI TMB US E&O,USD,17827.72897,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2006,BUSA A&E MM,USD,37348.73828,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2006,BUSA A&E PE,USD,17472.05657,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2006,BUSA D&O MM,USD,12811.11266,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2006,BUSA EPL MM,USD,16278.71543,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2006,BUSA EPL PE,USD,2823.702984,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2006,BUSA TMB MM,USD,122482.4849,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2006,BUSA TMB PE,USD,2672.056153,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2010,BICI A&E MM,USD,36798.80328,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2010,BICI A&E PE,USD,61745.24165,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2010,BICI D&O MM,USD,38037.91539,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2010,BICI EPL MM,USD,23042.46173,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2010,BICI EPL PE,USD,3880.288002,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2010,BICI TMB PE,USD,22225.71465,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2010,BICI TMB US E&O,USD,37342.7289,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2010,BUSA A&E MM,USD,3552.385386,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2010,BUSA A&E PE,USD,221.2617738,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2010,BUSA D&O MM,USD,666.438541,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2010,BUSA EPL MM,USD,299.8433201,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2010,BUSA EPL PE,USD,11.48727216,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2010,BUSA TMB PE,USD,611.7002929,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2010,D&O,USD,16126.39058,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2010,DIN US Lawyers,USD,2021.605145,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2010,EPL,USD,7817.522038,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2010,Healthcare-Hospitals,USD,30448.0699,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2010,Healthcare-Misc Med,USD,8161.588914,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2010,International,USD,6311.514113,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2010,PI-A&E exBLPT,USD,41930.70097,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2010,PI-BI exBLPT,USD,382.5047833,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2010,PI-Ins Brokers exBLPT,USD,100.1342603,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2010,PI-Other exBLPT,USD,4325.1842,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2010,TMB UK Tech,USD,77674.06493,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2010,UK,USD,4461.185549,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2010,US PE London,USD,10808.81259,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2010,TMB MM,USD,126.1618035,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2010,BUSA Beazley Healthcare,USD,17584.77974,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2010,BUSA TMB US E&O,USD,2.767109988,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2010,BUSA Healthcare MM,USD,2627.214599,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2010,BUSA TMB MM,USD,30911.4958,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2010,BICI BEAZLEY HEALTHCARE,USD,5923.244715,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2010,Healthcare Large Risk Int,USD,157.1546728,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2010,BICI US PROGRAMMES,USD,3727.96101,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2011,BICI A&E MM,USD,46437.69977,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2011,BICI A&E PE,USD,8306.848409,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2011,BICI D&O MM,USD,87641.78895,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2011,BICI EPL MM,USD,21210.90135,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2011,BICI EPL PE,USD,2116.768464,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2011,BICI TMB PE,USD,20016.34698,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2011,BICI TMB US E&O,USD,107871.7092,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2011,BUSA A&E MM,USD,42529.13034,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2011,BUSA A&E PE,USD,394.9567524,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2011,BUSA D&O MM,USD,2610.330908,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2011,BUSA EPL MM,USD,2179.39752,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2011,BUSA EPL PE,USD,55.25984351,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2011,BUSA TMB PE,USD,8454.452213,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2011,D&O,USD,66419.40182,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2011,DIN US Lawyers,USD,17369.26578,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2011,EPL,USD,85557.86522,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2011,BUSA TMB MM,USD,244623.3432,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2011,Healthcare-Hospitals,USD,308756.7692,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2011,BUSA Crime,USD,6073.490256,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2011,Healthcare Management Liability Package Policy,USD,1561.846939,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2011,BICI US PROGRAMMES,USD,3643.729161,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2011,Healthcare-Misc Med,USD,65583.45998,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2011,HML UK,USD,230.0850314,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2011,International,USD,51759.90233,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2011,PI-A&E exBLPT,USD,300454.6392,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2011,PI-BI exBLPT,USD,2546.246148,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2011,PI-Ins Brokers exBLPT,USD,5462.207872,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2011,PI-Other exBLPT,USD,3781.171627,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2011,TMB UK Tech,USD,599012.0979,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2011,UK,USD,29571.46033,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2011,US PE London,USD,101545.7754,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2011,TMB Large Risk Int,USD,96235.95268,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2011,D&O Large Risk Int,USD,31025.47544,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2011,Crime,USD,3795.166452,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2011,TMB MM,USD,127.6060173,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2011,BUSA Beazley Healthcare,USD,14930.25142,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2011,BUSA TMB US E&O,USD,35155.04629,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2011,BUSA Healthcare MM,USD,37140.67943,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2011,BUSA Commercial Crime,USD,447.3342108,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2011,BUSA Healthcare ML,USD,467.2509096,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2011,BICI CommercialCrime,USD,1575.389916,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2011,BICI BEAZLEY HEALTHCARE,USD,2824.654925,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2011,BICI Healthcare ML,USD,3804.060159,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2011,Healthcare Large Risk Int,USD,29776.924,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2012,BICI A&E MM,USD,85463.30959,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2012,BICI A&E PE,USD,14937.41012,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2012,BICI D&O MM,USD,56082.33858,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2012,BICI EPL MM,USD,36682.83588,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2012,BICI EPL PE,USD,3197.838993,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2012,BICI TMB PE,USD,49298.39073,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2012,BICI TMB US E&O,USD,70830.7645,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2012,BUSA A&E MM,USD,12142.83592,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2012,BUSA A&E PE,USD,75.51336228,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2012,BUSA D&O MM,USD,1312.946913,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2012,BUSA EPL MM,USD,831.9502526,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2012,BUSA EPL PE,USD,2.560800503,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2012,BUSA TMB PE,USD,948.7264396,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2012,D&O,USD,45623.04715,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2012,DIN US Lawyers,USD,3255.959619,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2012,EPL,USD,17806.5107,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2012,Healthcare-Hospitals,USD,62609.05245,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2012,Healthcare-Misc Med,USD,12023.97459,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2012,HML UK,USD,423.7221258,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2012,International,USD,9842.257545,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2012,PI-A&E exBLPT,USD,55406.36689,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2012,PI-Ins Brokers exBLPT,USD,148.8925324,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2012,PI-Other exBLPT,USD,565.2945987,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2012,TMB UK Tech,USD,74732.59251,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2012,UK,USD,2655.284092,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2012,US PE London,USD,18989.18572,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2012,TMB Large Risk Int,USD,14930.80999,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2012,Crime,USD,1859.678486,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2012,TMB MM,USD,22.25503179,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2012,BUSA TMB US E&O,USD,73594.74995,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2012,BUSA Healthcare MM,USD,4044.338235,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2012,BUSA CommercialCrime,USD,957.7659978,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2012,BUSA Healthcare ML,USD,700.5330976,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2012,BICI CommercialCrime,USD,4068.538458,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2012,BUSA Commercial Crime,USD,847.4082893,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2012,BICI Healthcare ML,USD,17666.74615,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2012,TMB PE Int,USD,72.82509876,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2012,TMB UK Info Sec,USD,25895.27303,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2012,BUSA TMB PE US Info Sec,USD,548.2922426,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2012,BUSA Misc Med PE,USD,27.48690212,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2012,BUSA Financial Crime,USD,266.9886338,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2012,BUSA TMB US Info Sec,USD,40820.05002,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2012,BICI TMB US Info Sec,USD,51287.8664,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2012,BICI Financial Crime,USD,2500.18068,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2012,BICI TMB PE US Info Sec,USD,810.7736638,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2012,BICI US PROGRAMMES,USD,9100.479299,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2012,PI-Lawyers exBLPT,USD,25.50302025,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2012,Healthcare Large Risk Int,USD,18254.42575,01/09/2023,No Entity
MUNICH - Surplus and MUNICHQQS,,2012,D&O Large Risk Int,USD,16969.73898,01/09/2023,No Entity
TMB PE Int QS,,2014,International            ,GBP,1355,01/09/2023,No Entity
TMB PE Int QS,,2014,TMB Large Risk Int       ,GBP,572,01/09/2023,No Entity
TMB PE Int QS,,2014,TMB PE Int               ,GBP,15240,01/09/2023,No Entity
TMB PE Int QS,,2016,TMB Large Risk Int       ,GBP,3.6696,01/09/2023,No Entity
TMB PE Int QS,,2016,TMB PE Int               ,GBP,413.3304,01/09/2023,No Entity
TRALIA,R0766A12,2012,REPS & WARRANTIES        ,USD,284122,01/09/2023,No Entity
TRALIA,R0766A13,2013,REPS & WARRANTIES        ,USD,371965,01/09/2023,No Entity
TRALIA,R0766A14,2014,REPS & WARRANTIES        ,USD,580284.7622,01/09/2023,No Entity
TRALIA,R0766A14,2014,BUSA Transaction Liab ,USD,25377.2378,01/09/2023,No Entity
TRALIA,R0766A15,2015,REPS & WARRANTIES        ,USD,384609.5584,01/09/2023,No Entity
TRALIA,R0766A15,2015,BUSA Transaction Liab ,USD,131229.4416,01/09/2023,No Entity
TRALIA,R0766A16,2016,REPS & WARRANTIES        ,USD,8673.7464,01/09/2023,No Entity
TRALIA,R0766A16,2016,BUSA Transaction Liab ,USD,285313.6884,01/09/2023,No Entity
TRALIA,R0766A16,2016,Intl R&W                 ,USD,363114.5652,01/09/2023,No Entity
TRALIA,R0766A18,2018,REPS & WARRANTIES        ,USD,71088.001,01/09/2023,No Entity
TRALIA,R0766A18,2018,BUSA Transaction Liab ,USD,257670.5164,01/09/2023,No Entity
TRALIA,R0766A18,2018,Intl R&W                 ,USD,297504.85,01/09/2023,No Entity
CUNA QS,R0957A17,2017,BICI BBR Services MM     ,USD,7693.202762,01/09/2023,No Entity
CUNA QS,R0957A17,2017,BICI BBR Services PE     ,USD,10113.04962,01/09/2023,No Entity
CUNA QS,R0957A17,2017,BICI TMB PE US Info Sec  ,USD,19995.80924,01/09/2023,No Entity
CUNA QS,R0957A17,2017,BICI TMB US Info Sec     ,USD,5321.864395,01/09/2023,No Entity
CUNA QS,R0957A17,2017,BICI US InfoSec MM BBR   ,USD,9889.371567,01/09/2023,No Entity
CUNA QS,R0957A17,2017,BUSA BBR Services MM     ,USD,26981.82397,01/09/2023,No Entity
CUNA QS,R0957A17,2017,BUSA BBR Services PE     ,USD,37999.78326,01/09/2023,No Entity
CUNA QS,R0957A17,2017,BUSA TMB PE US Info Sec  ,USD,190404.8055,01/09/2023,No Entity
CUNA QS,R0957A17,2017,BUSA TMB US Info Sec     ,USD,83220.64625,01/09/2023,No Entity
CUNA QS,R0957A17,2017,BUSA US InfoSec MM BBR   ,USD,64012.64347,01/09/2023,No Entity
CUNA QS,R0957A18,2018,BICI BBR Services MM,USD,7091.404647,01/09/2023,No Entity
CUNA QS,R0957A18,2018,BICI BBR Services PE,USD,9220.44739,01/09/2023,No Entity
CUNA QS,R0957A18,2018,BICI TMB PE US Info Sec,USD,24306.22096,01/09/2023,No Entity
CUNA QS,R0957A18,2018,BICI US InfoSec MM BBR,USD,18695.19028,01/09/2023,No Entity
CUNA QS,R0957A18,2018,BUSA BBR Services MM,USD,19377.43435,01/09/2023,No Entity
CUNA QS,R0957A18,2018,BUSA BBR Services PE,USD,25741.20304,01/09/2023,No Entity
CUNA QS,R0957A18,2018,BUSA TMB PE US Info Sec,USD,67974.39155,01/09/2023,No Entity
CUNA QS,R0957A18,2018,BUSA TMB US Info Sec,USD,587.6499574,01/09/2023,No Entity
CUNA QS,R0957A18,2018,BUSA US InfoSec MM BBR   ,USD,51085.05783,01/09/2023,No Entity
