AccountingPeriod,PolicyNumber,yoa,focus_area,TrifocusCode,TrifocusName,Entity,SignedValue,SignedLinePercent,SettlementCCY,OrgininalValue,OriginalCCY,MC_OriginalValue,MC_OrgininalCCY,mop,tot,Multiyear,statscode,Inception,Expiry,AccountKey
202301,T9196L15APCR,2015,Ex Cat                   ,TRI00012,Ex Cat,623,26659.2000,5.0000,USD,533184,USD,,,T  ,2015-08-01 00:00:00,N,SC ,2015-06-01 00:00:00,2016-05-31 00:00:00,GPE-RP-P
202301,T9196L16APCR,2016,Ex Cat                   ,TRI00012,Ex Cat,623,6790.8000,5.0000,USD,135816,USD,,,T  ,2016-08-01 00:00:00,N,SC ,2016-06-01 00:00:00,2017-05-31 00:00:00,GPE-RP-P
202301,T9197A14APCR,2014,Ex Cat                   ,TRI00012,Ex Cat,623,303.1700,3.5000,USD,8662,USD,,,T  ,2014-08-01 00:00:00,N,SC ,2014-06-01 00:00:00,2015-05-31 00:00:00,GPE-RP-P
202301,T9197A15APCR,2015,Ex Cat                   ,TRI00012,Ex Cat,623,14531.2000,5.0000,USD,290624,USD,,,T  ,2015-08-01 00:00:00,N,SC ,2015-06-01 00:00:00,2016-05-31 00:00:00,GPE-RP-P
202301,T9197A16APCR,2016,Ex Cat                   ,TRI00012,Ex Cat,623,10996.9000,5.0000,USD,219938,USD,,,T  ,2016-08-01 00:00:00,N,SC ,2016-06-01 00:00:00,2017-05-31 00:00:00,GPE-RP-P
202301,T9201K10APCC,2010,Cat                      ,TRI00004,Cat,623,15757.8000,2.5000,USD,630312,USD,,,T  ,2010-07-31 00:00:00,N,SC ,2010-07-01 00:00:00,2011-06-30 00:00:00,GPE-RP-P
202301,T9166Q21APCC,2021,Cat                      ,TRI00004,Cat,623,81886.2500,.2500,USD,32754500,USD,,,T  ,2021-03-31 00:00:00,N,SC ,2021-03-01 00:00:00,2022-02-28 00:00:00,GPE-RP-P
202301,T9167C16APCS,2016,Cat                      ,TRI00004,Cat,623,1150.3660,.1750,USD,657352,USD,,,T  ,2016-07-30 00:00:00,N,SC ,2016-06-01 00:00:00,2017-05-31 00:00:00,GPE-RP-P
202301,T9167C17APCS,2017,Cat                      ,TRI00004,Cat,623,34719.3450,.2500,USD,13887738,USD,,,T  ,2017-07-30 00:00:00,N,SC ,2017-06-01 00:00:00,2018-05-31 00:00:00,GPE-RP-P
202301,T9167C18APCS,2018,Cat                      ,TRI00004,Cat,623,35194.5150,.2500,USD,14077806,USD,,,T  ,2018-07-30 00:00:00,N,SC ,2018-06-01 00:00:00,2019-05-31 00:00:00,GPE-RP-P
202301,T9137E10APCR,2010,Ex Cat                   ,TRI00012,Ex Cat,623,1365.3009,1.3700,USD,99657,USD,,,T  ,2010-06-29 00:00:00,N,SC ,2010-05-01 00:00:00,2011-04-30 00:00:00,GPE-RP-P
202301,T9137E11APCR,2011,Ex Cat                   ,TRI00012,Ex Cat,623,309.3909,1.4700,USD,21047,USD,,,T  ,2011-06-29 00:00:00,N,SC ,2011-05-01 00:00:00,2012-04-30 00:00:00,GPE-RP-P
202301,T9158E17APCC,2017,Cat                      ,TRI00004,Cat,623,86023.8400,4.0000,USD,2150596,USD,,,T  ,2017-08-01 00:00:00,N,SC ,2017-06-01 00:00:00,2018-05-31 00:00:00,GPE-RP-P
202301,T9159N17APCC,2017,Cat                      ,TRI00004,Cat,623,29099.8800,4.0000,USD,738430,USD,,,T  ,2017-08-01 00:00:00,N,SC ,2017-06-01 00:00:00,2018-05-31 00:00:00,GPE-RP-P
202301,T9165F17APCS,2017,Cat                      ,TRI00004,Cat,623,26048.7200,1.0000,USD,2604872,USD,,,T  ,2017-06-30 00:00:00,N,SC ,2017-06-01 00:00:00,2018-05-31 00:00:00,GPE-RP-P
202301,T9126K13APCC,2013,Cat                      ,TRI00004,Cat,623,14303.6580,1.0000,GBP,11519308,CNY,,,T  ,2013-05-31 00:00:00,N,SC ,2013-05-01 00:00:00,2014-04-30 00:00:00,GPE-RP-P
202301,T9129S12APCC,2012,Cat                      ,TRI00004,Cat,623,32844.3750,2.5000,USD,1313775,USD,,,T  ,2012-06-30 00:00:00,N,SC ,2012-06-01 00:00:00,2013-05-31 00:00:00,GPE-RP-P
202301,T9089X17APCC,2017,Cat                      ,TRI00004,Cat,623,8565.2000,10.0000,EUR,85652,EUR,,,T  ,2017-01-31 00:00:00,N,SC ,2017-01-01 00:00:00,2017-12-31 00:00:00,GPE-RP-P
202301,T9089X21APCS,2021,                         ,,,623,1225.9200,4.0000,EUR,30648,EUR,,,T  ,2021-01-31 00:00:00,N,SC ,2021-01-01 00:00:00,2021-12-31 00:00:00,GPE-RP-P
202301,T9095K12APCC,2012,Cat                      ,TRI00004,Cat,623,54836.5800,2.0000,USD,2741829,USD,,,T  ,2012-04-30 00:00:00,N,SC ,2012-04-01 00:00:00,2013-03-31 00:00:00,GPE-RP-P
202301,T9096Z12APCZ,2012,Cat                      ,TRI00004,Cat,623,97418.1908,1.2870,USD,7569401,USD,,,T  ,2012-04-30 00:00:00,N,SC ,2012-04-01 00:00:00,2013-03-31 00:00:00,GPE-RP-P
202301,T9097G12APCZ,2012,Cat                      ,TRI00004,Cat,623,15838.4250,1.5000,USD,1055895,USD,,,T  ,2012-04-30 00:00:00,N,SC ,2012-04-01 00:00:00,2013-03-31 00:00:00,GPE-RP-P
202301,T9100J13APCC,2013,Cat                      ,TRI00004,Cat,623,23272.2048,2.0000,GBP,107449399,INR,,,T  ,2013-05-31 00:00:00,N,SC ,2013-04-01 00:00:00,2014-03-31 00:00:00,GPE-RP-P
202301,T9100J14APCC,2014,Cat                      ,TRI00004,Cat,623,10721.0850,1.0000,GBP,99000000,INR,,,T  ,2014-05-31 00:00:00,N,SC ,2014-04-01 00:00:00,2015-03-31 00:00:00,GPE-RP-P
202301,T9101X13APCC,2013,Cat                      ,TRI00004,Cat,623,9901.8362,2.0000,GBP,45717471,INR,,,T  ,2013-05-31 00:00:00,N,SC ,2013-04-01 00:00:00,2014-03-31 00:00:00,GPE-RP-P
202301,T9102F14APCC,2014,Cat                      ,TRI00004,Cat,623,1321.1143,1.0000,GBP,12199355,INR,,,T  ,2014-05-31 00:00:00,N,SC ,2014-04-01 00:00:00,2015-03-31 00:00:00,GPE-RP-P
